SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore
757907108927616,47.20493101147063,2.3110290768167405,1.668576098383622,11.248628868716862,12.74645855567158,14.956065,15.6426115,14.143232,1.4993792,57.175503,-0.1029470111411581,1,308,ra,1.6041271101385977
101193725229056,44.56952416536808,0.6899530031119535,0.4854023347831415,3.5391841891209914,-1.5994362077233346,14.3327055,14.816144,13.685072,1.131072,91.2959,-0.1030723751155252,1,309,radial_velocity,2.173787773773865
326009493361152,44.86209390615478,1.0888532238756603,2.3135734771112624,12.682886209097145,-7.666622981198708,11.261193,11.54469,10.816141,0.728549,27.546743,-0.1031830359326093,1,310,phot_bp_mean_mag,1.4517585533506365
1700845704552448,45.325220253513656,2.706949378237403,1.3103456431485343,3.071333429487193,4.918297776036592,14.696432,15.139661,14.082731,1.0569296,46.80534,-0.1031856334276155,1,311,dec,1.1040691465970447
1266744770036352,44.3018367210201,1.8140795588513865,2.514157310094049,16.7028448895436,-18.198172224477865,11.401944,11.966998,10.696925,1.2700729,3.8827848,-0.1039087768028412,1,312,phot_rp_mean_mag,1.4056050641827058
1118409484370304,46.37166598925963,3.3598414165351222,2.17605767326452,8.578027871331289,-6.180065627174938,14.95023,15.523716,14.232824,1.2908916,-24.190739,-0.1043407327808742,1,313,dec,2.0256037360436068
1036775041194496,46.96797166468672,3.0773221574467637,4.916393451401097,27.611178345130497,-7.133917183672135,12.564064,13.055659,11.8952,1.1604595,30.026146,-0.1044771029663879,1,314,dec,1.6268375478181394
1521865827406720,43.08272524063168,2.565269664732445,2.8165593011869303,-1.0349114398234922,-21.9984341537642,14.467693,15.066882,13.731199,1.3356829,-28.602211,-0.1044978640047437,1,315,ra,1.7087886760041664
1486028620270208,42.551166242666646,2.33948285867788,1.0359079666338786,-13.034095711274286,-17.931427749510807,13.609831,14.077221,12.981233,1.0959883,-14.183825,-0.1050218733938142,1,316,ra,2.135989619751862
309207581284608,44.27090409190348,0.983317375542524,1.450374193533101,37.7710319093168,-27.67803435832044,13.040367,13.4064455,12.50198,0.9044657,52.13884,-0.1052175777016676,1,317,dec,1.3287779656173573
17008070647424,45.13834824292331,0.3991848201195224,2.314110019883928,-10.784859033776325,-2.9708975493720886,12.748305,13.079504,12.24523,0.8342743,22.276821,-0.1052501185130324,1,318,dec,2.1532609169604435
21788369897344,44.8728599024172,0.3320852672094277,2.1791184736484874,15.934848753378771,-16.978266943174255,12.96874,13.356497,12.414181,0.94231606,2.9883664,-0.1053274888960849,1,319,dec,2.247969621180934
183760176405632,46.032722282404734,1.101464566124532,4.002709568233648,-12.58124547231178,-19.428081346447243,14.203987,14.967958,13.353791,1.6141672,-20.378906,-0.1053535193581862,1,320,bp_rp,1.289712769668005
650949539036928,45.89000386696362,1.6583649605398063,4.394906208440679,5.701816293066863,-43.75433265375616,14.482636,15.190591,13.421926,1.7686653,-30.995485,-0.1053764134188798,1,321,bp_rp,1.677960158714367
604834474552704,46.75147571805877,1.6665053462283788,1.7767730590033275,44.26047188785624,-17.71757146222333,14.946413,15.475039,14.233376,1.241663,43.805996,-0.1057459194378448,1,322,pmra,1.5402057124156487
679296323199872,46.54579746506614,2.053364458611572,3.706472747585677,53.79543311868095,-10.793307078086514,12.367049,12.7663,11.804274,0.9620266,68.81832,-0.1059649587386418,1,323,pmra,1.96617835851839
77446850344832,44.6341979766789,0.4997924214707318,1.8109109757031632,-4.896242466607355,-18.04090535267444,12.781659,13.07565,12.320119,0.7555313,-34.965267,-0.1060050473203643,1,324,dec,2.0112567582818954
282127811749632,44.34888693656666,0.6640696829060384,2.229811925983624,13.549565211867789,-18.84487207734123,12.148763,12.620275,11.519206,1.1010685,35.890125,-0.106211823981511,1,325,dec,1.779385070786821
1367762400788224,44.04034288138946,2.6033021194900097,2.32391461126474,27.08903805031973,4.076478774822014,14.712145,15.29531,13.989103,1.3062067,78.71991,-0.1062914212438195,1,326,radial_velocity,1.8378075065341446
1221011958336512,43.10753491740921,1.8345541204661384,4.299366943616998,-13.75609658277432,-6.901197464468948,12.215177,12.583441,11.677528,0.9059124,-18.897743,-0.106581412309656,1,327,ra,1.6888497466021417
1260594376944384,43.72551886641913,2.213035840693561,2.938189291645556,52.7679789888218,-8.15574851906645,14.508046,15.156387,13.738529,1.4178581,64.02336,-0.1066219778633871,1,328,pmra,1.9202770335050912
1161981927876352,43.95675628236915,1.5672333065330215,2.28512838988262,11.792030615152168,23.198085884747023,14.9459915,15.468167,14.096916,1.3712511,19.872618,-0.1068299218939767,1,329,pmdec,1.6124956420842766
484541030591872,45.39904702080683,1.862732199493129,2.395639445031432,20.319042130661817,27.811413746987224,11.716544,12.048324,11.210696,0.8376274,0.9555842,-0.1068770358574111,1,330,pmdec,1.8344154253258484
461142048768128,45.41080575158194,1.6563435168343428,1.0323554946810274,-7.094432571756558,-14.485033381596152,11.428165,11.972035,10.730273,1.2417622,0.40116206,-0.1069415609239435,1,331,phot_rp_mean_mag,1.3817785928781536
747809641570816,47.66758041545532,2.2665855651604927,2.727979021221904,20.99292922574115,-32.16321789406913,12.858761,13.217732,12.328923,0.8888092,54.745907,-0.1070258642801618,1,332,ra,1.9759471014532208
1517295982204672,42.97490681684335,2.605228752586597,0.5510566926039234,0.9412425480012832,0.4920184772896475,14.562615,14.937921,14.010895,0.9270258,28.898893,-0.107382319939294,1,333,ra,1.7954397017079842
704649514467072,47.15116169036218,1.8749030249805088,0.7232650416908983,-0.8395239829790366,-3.0324942285702297,11.726706,12.305741,10.999221,1.3065205,44.226933,-0.1074258696409715,1,334,ra,1.5609140240839194
302262618430464,44.26486195433251,0.917468020481768,4.497538597769913,5.747868491270275,-15.117152628783934,13.320649,14.046998,12.492644,1.5543537,29.826653,-0.1074336262483296,1,335,dec,1.4217220587011872
775091273788160,46.7919111552276,2.1780482860180155,2.919761969182629,5.917395495532645,-13.830628815190824,15.067448,15.836268,14.079878,1.7563906,26.204569,-0.1074760324758283,1,336,bp_rp,1.6471143410225804
906620352153984,46.08653258524468,2.436112068921668,4.517383411987507,1.941751420531352,-7.065763716922098,11.071233,11.394788,10.539748,0.8550396,14.962022,-0.1076383466981862,1,337,phot_bp_mean_mag,1.549764626563867
1131053868027648,43.56369981077506,1.3415452941401813,2.156179074368442,-2.3705288337019983,-21.12344505522498,11.69852,12.100075,11.131377,0.96869755,-18.60974,-0.1078375335540204,1,338,ra,1.3222411976047692
1477743628307712,42.53858520608349,2.0905927904945445,0.4514893026452088,4.836323761666986,2.401311755901909,13.590385,14.065663,12.95157,1.1140938,41.38938,-0.1079213456505732,1,339,ra,2.146100690624944
961973890657152,46.02102111109289,2.702963725543269,1.8264984204984769,22.776333409712507,3.2531163739542204,11.357053,11.642715,10.902841,0.73987484,25.686285,-0.108063460479538,1,340,phot_bp_mean_mag,1.387669713130178
